#{"t_start": 1733438642.8664284, "env_id": "None"}
r,l,t
-500.0,1,185.433177
-492.807068,2,185.54442
-497.187476,4,185.741645
-436.083043,7,186.053103
-470.054325,6,186.200134
-439.846314,12,186.481983
-500.0,1,186.507707
-497.082978,3,186.606313
-493.226899,2,186.679657
-490.130029,6,186.833268
-488.821634,6,186.980764
-492.272508,5,187.107931
-456.381709,11,187.405718
-474.990281,7,187.592874
184.047798,14,187.95654
-489.418275,3,188.032343
-471.244582,6,188.179744
-497.945258,3,188.258775
-400.282398,7,188.428423
-468.769225,8,188.639896
-465.772062,5,188.77292
-474.004081,4,188.873581
-482.608801,4,188.974097
-356.649328,14,189.312926
-482.219127,7,189.499426
-336.615654,8,189.751493
-499.482041,2,189.802633
-500.0,1,189.828514
-468.182964,12,190.111131
-399.738217,7,190.329425
-450.358519,4,190.452744
-388.028673,13,190.754873
-467.616309,4,190.857811
-452.871279,6,191.069508
-654.547923,11,191.326135
-488.198026,5,191.468506
-496.26395,7,191.695681
-442.65541,6,191.851762
-496.104645,7,192.0222
-471.692502,6,192.209792
-473.605653,5,192.333941
-482.153076,5,192.457196
-469.613983,7,192.626476
-395.652412,9,192.895339
-474.353675,7,193.065834
-483.625989,8,193.259611
-490.131771,7,193.485487
-298.728083,11,194.762346
-499.481946,2,194.814329
-475.375618,6,194.964969
-492.218063,5,195.093085
-459.593239,12,195.441743
-475.90259,14,195.771309
-482.200597,4,195.873967
-495.51611,6,196.032482
-440.026105,7,196.203862
-500.0,1,196.230085
-496.607573,2,196.281489
-483.843054,6,196.432216
-353.660168,9,196.707486
-337.954047,6,196.856248
-479.562172,12,197.131943
-493.762891,7,197.368276
-492.159461,4,197.469105
-466.385573,15,197.848306
-497.316308,2,197.899767
-480.436627,10,198.137543
-433.067647,4,198.238308
-495.695746,5,198.370186
-488.811584,8,198.62798
-490.638078,4,198.732234
-490.397328,3,198.812117
-494.049931,4,198.918222
-356.031208,10,199.213057
-492.646373,7,199.388839
-493.677502,5,199.52442
-372.207412,11,199.820388
-306.782974,10,200.058884
-419.087142,6,200.212498
-497.796525,3,200.313556
-493.610607,6,200.464674
-489.205417,6,200.613434
-471.95982,7,200.785419
-273.844589,13,201.104452
-496.984643,3,201.180464
-498.569841,3,201.257481
-332.864078,7,201.428399
-498.552654,4,201.528972
-487.424278,5,201.761722
-386.679777,5,201.914339
-389.829919,9,202.306486
-493.182619,5,202.475531
-431.034447,7,202.674839
-494.677712,5,202.858119
3134.810699,14,203.174976
-444.082819,9,203.423025
-113.522505,7,203.600186
-496.215938,3,203.677365
-291.887392,12,203.959238
-473.815922,5,204.127529
-421.270693,4,204.229013
-451.221365,7,204.400066
-445.533154,9,204.622927
-467.553972,7,204.804863
-479.229596,4,204.905083
